"name.x","fips","population.x","pop_sqmi.x","white.x","black.x","hispanic.x","other_race.x","pct_male.x","pct_female.x","med_age.x","all_rate.x","mddo_rate.x","nppa_rate.x","count_all.x","mddo_count.x","nppa_count.x","name.y","population.y","pop_sqmi.y","white.y","black.y","hispanic.y","other_race.y","pct_male.y","pct_female.y","med_age.y","all_rate.y","mddo_rate.y","nppa_rate.y","count_all.y","mddo_count.y","nppa_count.y","year","pct_change_all","pct_change_mddo","pct_change_nppa"
"Big Stone",27011,5271,10,98.1787137165623,0.208689053310567,0.777841016884842,0.284575981787137,48.8522102067919,51.1098463289698,48.4,28.4575981787137,22.766078542971,5.69151963574274,15,12,3,"Big Stone",5271,10,98.1787137165623,0.208689053310567,0.777841016884842,0.284575981787137,48.8522102067919,51.1098463289698,48.4,15.177385695314,11.3830392714855,3.7943464238285,8,6,2,"2019 - 2021",0.132802124833997,0.113830392714855,0.0189717321191425
"Carver",27019,96002,255.3,87.9669173558884,1.17080894148039,3.66138205454053,1.38642944938647,47.1198516697569,47.7135893002229,36.2,31.4576779650424,25.6244661569551,5.83321180808733,302,246,56,"Carver",96002,255.3,87.9669173558884,1.17080894148039,3.66138205454053,1.38642944938647,47.1198516697569,47.7135893002229,36.2,29.2702235370096,23.9578342117873,5.31238932522239,281,230,51,"2019 - 2021",0.0218745442803275,0.0166663194516781,0.0052082248286494
"Cass",27021,28883,12,84.942699858048,0.211196897829173,1.17716303708064,0.20081016514905,50.5591524426133,48.346778381747,46.7,6.23203960807395,5.5395907627324,0.69244884534155,18,16,2,"Cass",28883,12,84.942699858048,0.211196897829173,1.17716303708064,0.20081016514905,50.5591524426133,48.346778381747,46.7,4.50091749472008,4.1546930720493,0.346224422670775,13,12,1,"2019 - 2021",0.0173112211335388,0.013848976906831,0.00346224422670775
"Chippewa",27023,12223,20.8,95.1648531457089,0.531784340996482,4.99877280536693,2.59347132455207,49.922277673239,51.8612451934877,43,8.99942730917123,7.36316779841283,1.63625951075841,11,9,2,"Chippewa",12223,20.8,95.1648531457089,0.531784340996482,4.99877280536693,2.59347132455207,49.922277673239,51.8612451934877,43,9.81755706455044,8.99942730917123,0.818129755379203,12,11,1,"2019 - 2021",-0.00818129755379203,-0.0163625951075841,0.00818129755379203
"Clay",27027,62027,58.9,88.1616070420946,1.35747335837619,3.31468554016799,0.851242200976994,46.9747045641414,48.1435503893466,31.7,11.285407967498,7.25490512196302,4.03050284553501,70,45,25,"Clay",62027,58.9,88.1616070420946,1.35747335837619,3.31468554016799,0.851242200976994,46.9747045641414,48.1435503893466,31.7,8.38344591871282,5.48148386992761,2.90196204878521,52,34,18,"2019 - 2021",0.0290196204878521,0.017734212520354,0.011285407967498
"Clearwater",27029,8778,8.5,86.3408521303258,0.341763499658236,1.36705399863295,0.193665983139667,49.8291182501709,49.2253360674413,42,9.11369332421964,6.83526999316473,2.27842333105491,8,6,2,"Clearwater",8778,8.5,86.3408521303258,0.341763499658236,1.36705399863295,0.193665983139667,49.8291182501709,49.2253360674413,42,7.97448165869219,5.69605832763727,2.27842333105491,7,5,2,"2019 - 2021",0.0113921166552745,0.0113921166552745,0
"Crow Wing",27035,64068,55.4,94.2248860585628,0.488543422613473,1.01766872697759,0.213835299993757,48.5936817131797,48.9589186489355,42.3,30.2803271524006,23.8808765686458,6.39945058375476,194,153,41,"Crow Wing",64068,55.4,94.2248860585628,0.488543422613473,1.01766872697759,0.213835299993757,48.5936817131797,48.9589186489355,42.3,23.7247924080664,19.1983517512643,4.52644065680215,152,123,29,"2019 - 2021",0.0655553474433414,0.0468252481738153,0.0187300992695261
"Douglas",27041,36935,51.3,95.2646541221064,0.406118857452281,0.923243535941519,0.197644510626777,48.8885880601056,48.604304859889,43.1,12.1835657235684,9.20536076891837,2.97820495465006,45,34,11,"Douglas",36935,51.3,95.2646541221064,0.406118857452281,0.923243535941519,0.197644510626777,48.8885880601056,48.604304859889,43.1,11.1005821036957,8.93461486395018,2.1659672397455,41,33,8,"2019 - 2021",0.0108298361987275,0.00270745904968187,0.00812237714904562
"Grant",27051,6016,10.5,97.4734042553192,0.315824468085106,1.5625,0.69813829787234,49.4348404255319,50.5984042553192,46.3,11.6356382978723,8.31117021276596,3.32446808510638,7,5,2,"Grant",6016,10.5,97.4734042553192,0.315824468085106,1.5625,0.69813829787234,49.4348404255319,50.5984042553192,46.3,11.6356382978723,8.31117021276596,3.32446808510638,7,5,2,"2019 - 2021",0,0,0
"Hubbard",27057,20271,20.3,95.2789699570815,0.236791475506882,1.61314192689063,0.453850328054857,50.7523062503083,50.0221992008288,46.4,6.90641803561738,5.42647131369937,1.47994672191801,14,11,3,"Hubbard",20271,20.3,95.2789699570815,0.236791475506882,1.61314192689063,0.453850328054857,50.7523062503083,50.0221992008288,46.4,6.41310246164471,4.9331557397267,1.47994672191801,13,10,3,"2019 - 2021",0.0049331557397267,0.0049331557397267,0
